"Indigenous","Illiteracy","Urbanisation","Density","Poverty","Poor_Sanitation","Unemployment","Timeliness","Year","TB","Population","Region","lon","lat","TB_rate","Predicted_Risk"
0.334986675,6.354471495,84.10664051,0.713508272,31.27839261,15.26997493,5.41120811,59.2395437262,2012,323,559543,11001,-60.6732648777446,-12.1375562216968,0.000577256797064747,0.000334972031644215
6.446776612,8.493550242,71.36291667,0.742960392,48.59763297,29.36466402,5.916373064,58.064516129,2012,15,73193,11002,-64.0285860057704,-9.43154092944457,0.00020493763064774,0.000301255010240981
0.160093485,10.21167961,66.9675723,0.66382054,42.28297994,31.92353738,4.084887144,88.6524822695,2012,47,176003,11003,-62.3563835789341,-10.636676463161,0.000267040902711886,0.000226527884743624
0.549301781,10.29428599,68.67524521,0.595117232,38.89858174,28.53455212,5.49725876,75.1552795031,2012,45,294157,11004,-64.0978147371483,-11.6949146980331,0.000152979531338707,0.000232969623408525
0.317736236,11.41837821,42.84594779,0.638516772,51.57131346,48.40628779,4.035860432,58.3333333333,2012,17,69841,11005,-61.2160975495619,-13.153460175999,0.000243410031356939,0.000176590227780435
1.023171437,10.26799424,66.49737963,0.59465871,39.10928853,29.28719604,5.578758125,69.3181818182,2012,66,228654,11006,-61.6887785811353,-11.932732730847,0.000288645726731218,0.000246823880368398
0.821544051,7.811039795,82.75737317,0.592796525,31.71298235,12.12468257,6.040940062,88.7640449438,2012,24,136730,11007,-62.5666219086101,-9.6590901135286,0.000175528413661962,0.000291807094352043
0.111255681,11.78291063,65.34102695,0.555026773,40.84771834,29.25861343,5.059368082,41.1764705882,2012,5,51890,11008,-62.883700177939,-11.6058899327112,9.63576797070726e-05,0.000179183892574516
3.26071252,22.84087077,57.5514239,1.010474317,60.54176072,32.8302521,6.722286362,50,2012,59,135803,12001,-71.1248769693091,-8.6984193450702,0.00043445284713887,0.000390990099368695
8.279810671,32.39558083,51.2999638,1.231924597,65.52160964,44.53638201,4.761272623,45,2012,13,76221,12002,-69.6590573259369,-9.6142587351303,0.000170556670733787,0.000246266108803564
7.816413877,26.12584536,63.67132798,1.032349834,58.63709342,35.37165262,7.526260504,58.3333333333,2012,13,52651,12003,-67.9204695876503,-9.98272167254455,0.000246908890619361,0.000375599336590543
0.184878251,11.01452156,83.02779392,0.796628837,42.60302694,11.74802529,8.64702312,31.6161616162,2012,246,433224,12004,-72.8619437197524,-8.2736824723849,0.000567835576976345,0.000502252565173049
1.230800702,19.10776332,66.32174699,0.826226078,55.68908471,28.96636086,5.895376601,70.9090909091,2012,19,60887,12005,-69.1597208679496,-10.7140791243705,0.000312053476111485,0.000373144701206113
50.64622783,23.38727148,48.26342464,1.462993465,48.0722246,45.45814256,7.683733373,36.0902255639,2012,48,99826,13001,-65.4698308927908,-4.02048893783099,0.000480836655781059,0.000427027749098735
10.04667257,21.05630363,48.48716504,1.529979184,72.38630846,47.04287827,15.43926766,0,2012,0,25044,13002,-59.9236399964055,-1.58792407579275,0,0.000194545623538504
27.6227833,21.74746004,58.06581167,1.415514478,70.701607,39.52474549,6.358735604,43.023255814,2012,103,231482,13003,-65.1316647723724,-0.341505760119682,0.000444959003291833,0.000384985544841503
